127.0.0.1 - - [19/Aug/2019:21:48:07 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:48:13 +0700] "GET /GiaoDienJspServlet2/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:48:14 +0700] "GET /GiaoDienJspServlet2/trang-chu;jsessionid=A9AD8306EC33E58A646E09A7854A07D0 HTTP/1.1" 200 7550
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:48:14 +0700] "GET /GiaoDienJspServlet2/template/web/css/style.css HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:48:14 +0700] "GET /GiaoDienJspServlet2/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:48:14 +0700] "GET /GiaoDienJspServlet2/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:48:14 +0700] "GET /GiaoDienJspServlet2/template/web/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:48:15 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:15 +0700] "GET /GiaoDienJspServlet2/trang-chu HTTP/1.1" 200 7550
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:21 +0700] "GET /GiaoDienJspServlet2/admin-home HTTP/1.1" 200 21996
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 55967
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/vendor/datatables/dataTables.bootstrap4.css HTTP/1.1" 200 5799
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/vendor/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/js/sb-admin.min.js HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/vendor/datatables/dataTables.bootstrap4.js HTTP/1.1" 200 4693
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/css/sb-admin.css HTTP/1.1" 200 219809
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/vendor/datatables/jquery.dataTables.js HTTP/1.1" 200 447569
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/js/demo/chart-area-demo.js HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/vendor/chart.js/Chart.min.js HTTP/1.1" 200 156721
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:22 +0700] "GET /GiaoDienJspServlet2/template/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75440
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:31 +0700] "GET /GiaoDienJspServlet2/register.html HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:53:35 +0700] "GET /GiaoDienJspServlet2/charts.html HTTP/1.1" 404 1109
