127.0.0.1 - - [05/Sep/2019:21:18:54 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:18:59 +0700] "GET /GiaoDienJspServlet2/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:19:01 +0700] "GET /GiaoDienJspServlet2/trang-chu;jsessionid=773D72CFE05F9B733152BEE89D78B096 HTTP/1.1" 200 7550
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:19:02 +0700] "GET /GiaoDienJspServlet2/template/web/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:19:02 +0700] "GET /GiaoDienJspServlet2/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:19:02 +0700] "GET /GiaoDienJspServlet2/template/web/css/style.css HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:19:02 +0700] "GET /GiaoDienJspServlet2/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:19:02 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:19:32 +0700] "GET /GiaoDienJspServlet2/login HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:19:32 +0700] "GET /GiaoDienJspServlet2/template/login/style.css HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [05/Sep/2019:21:19:32 +0700] "GET /GiaoDienJspServlet2/template/login/func.js HTTP/1.1" 200 502
